ds,yhat,yhat_lower,yhat_upper,GPU
2023-01-03,209.16986161367282,192.02940779539364,226.31656773357784,GeForce GTX 1050
2023-01-04,182.67767927084031,165.06953715468995,200.09499488084626,GeForce GTX 1050
2023-01-05,176.34350997952856,158.6690782552786,194.3625184003872,GeForce GTX 1050
2023-01-06,181.010756655163,163.1343967915552,197.6406247358199,GeForce GTX 1050
2023-01-07,187.09331482064073,170.30823377642153,203.40152796927737,GeForce GTX 1050
2023-01-08,181.59267347708672,164.12642536728492,199.8903316537463,GeForce GTX 1050
2023-01-09,179.09237227474597,161.32638014570668,195.84728963295322,GeForce GTX 1050
2023-01-10,210.51236542408859,192.85641210188956,226.96875412958994,GeForce GTX 1050
2024-01-03,252.48787737841695,236.13039293874036,269.6243639582426,GeForce GTX 1050
2024-01-04,246.1537080868559,229.92466481993003,264.16872769757913,GeForce GTX 1050
2024-01-05,250.82095476231603,234.903554194982,268.80137251148386,GeForce GTX 1050
2024-01-06,256.90351292754605,239.8223390880518,275.19363146220235,GeForce GTX 1050
2024-01-07,251.40287158374187,233.82962251591235,268.7615632305403,GeForce GTX 1050
2024-01-08,248.90257038123718,231.04341534597862,265.56523081421415,GeForce GTX 1050
2024-01-09,280.32256353059466,264.1079968013654,296.98245127638904,GeForce GTX 1050
2024-01-10,253.83038118761587,235.7537287351011,271.04834008574454,GeForce GTX 1050
2024-01-11,247.49621189614487,230.1859472815398,265.24554811614075,GeForce GTX 1050
2024-01-12,252.1634585716822,234.8391940092146,267.3122728416246,GeForce GTX 1050
2024-02-01,251.52372332461096,234.52358255460496,269.44667263898094,GeForce GTX 1050
2024-03-01,261.56098523824795,243.6350597279297,278.19559455950935,GeForce GTX 1050
2024-04-01,265.01261609537625,246.09232507433296,281.3476574084616,GeForce GTX 1050
2024-05-01,275.310442139774,258.0254719934917,292.03307969279064,GeForce GTX 1050
2024-06-01,285.0960929272052,268.65889053018515,302.61240399019306,GeForce GTX 1050
2024-07-01,282.4651656190353,264.9682211659502,298.30357566448316,GeForce GTX 1050
2024-08-01,286.4288223719013,269.3110720533598,303.74392952137885,GeForce GTX 1050
2024-09-01,297.04800110703326,279.95285530470534,314.5481582568993,GeForce GTX 1050
2024-10-01,331.33770829198386,314.38283022022534,348.63063950964886,GeForce GTX 1050
2024-11-01,308.54861857111246,291.17176044755246,325.3734048165396,GeForce GTX 1050
2024-12-01,314.5005506306486,295.78508785829047,330.8283791540444,GeForce GTX 1050
2025-01-01,322.29807547258025,304.8181558200715,337.94325674946003,GeForce GTX 1050
2025-02-01,332.0837262600182,314.2657010223239,349.66292778172885,GeForce GTX 1050
2025-03-01,337.4537414980908,319.1934197368121,354.43517088347943,GeForce GTX 1050
2025-04-01,366.242807339233,347.9218324786031,384.1154653488139,GeForce GTX 1050
2025-05-01,338.78647094278716,321.16299066707955,355.38056784557756,GeForce GTX 1050
2025-06-01,349.40564967790783,331.0034563988469,366.62720673073227,GeForce GTX 1050
2025-07-01,383.695356862848,366.5068332549056,401.8491495585007,GeForce GTX 1050
2025-08-01,360.90626714199345,345.1331501482156,377.74207071729666,GeForce GTX 1050
2025-09-01,364.3578979991189,346.8504573334061,381.8332922781051,GeForce GTX 1050
2025-10-01,374.65572404355186,356.2810722399201,391.79965502338746,GeForce GTX 1050
2025-11-01,384.4413748309243,366.54905164635124,401.0483734846383,GeForce GTX 1050
2025-12-01,381.81044752269224,364.39294885908555,399.32121472932744,GeForce GTX 1050
2026-01-01,385.7741042756387,368.66656919480533,405.01491739231085,GeForce GTX 1050
2026-02-01,396.39328301073914,379.057782660609,414.05851319858004,GeForce GTX 1050
2026-03-01,401.7632982488517,384.1463581045471,418.67598257690736,GeForce GTX 1050
2026-04-01,409.56082309073213,391.6074219048265,427.8420469344473,GeForce GTX 1050
2026-05-01,413.26391571285944,395.90899339167487,430.4414000549117,GeForce GTX 1050
2026-06-01,416.7155465699247,399.7154405378281,434.3906789860224,GeForce GTX 1050
2026-07-01,427.0133726144453,410.576851023057,444.43895658568255,GeForce GTX 1050
2026-08-01,436.7990234018405,419.31805019148686,454.39826108105007,GeForce GTX 1050
2026-09-01,465.588089242947,448.38566176106474,482.8069176128466,GeForce GTX 1050
2026-10-01,438.1317528465246,420.7464039050098,455.2820753871545,GeForce GTX 1050
2026-11-01,448.750931581642,432.98668598341254,465.1937326416007,GeForce GTX 1050
2026-12-01,483.0406387665812,464.80913167086845,500.4481906973166,GeForce GTX 1050
2027-01-01,460.25154904567296,443.35557643911034,478.0824468639347,GeForce GTX 1050
2027-02-01,463.70317990279864,446.15253228468174,481.70356251771625,GeForce GTX 1050
2027-03-01,469.0731951407935,452.29574053647053,486.080687693108,GeForce GTX 1050
2027-04-01,473.03685189374494,454.9124407948474,489.8051412986513,GeForce GTX 1050
2027-05-01,489.15667197269556,472.95404766597693,506.4883942843154,GeForce GTX 1050
2027-06-01,517.9457378138494,501.12511619738416,535.1102191538512,GeForce GTX 1050
2027-07-01,490.4894014173697,473.71228240936205,507.21233742269544,GeForce GTX 1050
2027-08-01,501.10858015251654,482.6645207194375,518.7691371694457,GeForce GTX 1050
2027-09-01,508.90610499450986,492.2978707585394,527.2512096049416,GeForce GTX 1050
2027-10-01,512.6091976165541,494.83510570601334,530.2001688035834,GeForce GTX 1050
2027-11-01,516.060828473799,499.0590101968293,532.9203873335833,GeForce GTX 1050
2027-12-01,526.3586545181,508.08778032693846,542.2834993919444,GeForce GTX 1050
2028-01-01,536.1443053055086,519.7025838822195,552.6550919772977,GeForce GTX 1050
2028-02-01,564.9333711466799,546.928709383143,581.1022809768286,GeForce GTX 1050
2028-03-01,543.8112040418133,526.9201357975751,559.7493466038532,GeForce GTX 1050
2028-04-01,553.5968548291575,535.918027774119,571.4504012380788,GeForce GTX 1050
