Date,Name,Retail Price
1/3/2024,GeForce GTX 1660 Ti,327
1/4/2023,GeForce GTX 1660 Ti,274
1/4/2024,GeForce GTX 1660 Ti,328
1/5/2023,GeForce GTX 1660 Ti,184
1/5/2024,GeForce GTX 1660 Ti,353
1/6/2023,GeForce GTX 1660 Ti,210
1/6/2024,GeForce GTX 1660 Ti,361
1/7/2023,GeForce GTX 1660 Ti,244
1/7/2024,GeForce GTX 1660 Ti,343
1/8/2023,GeForce GTX 1660 Ti,216
1/8/2024,GeForce GTX 1660 Ti,307
1/9/2023,GeForce GTX 1660 Ti,176
1/9/2024,GeForce GTX 1660 Ti,307
1/10/2023,GeForce GTX 1660 Ti,299
1/10/2024,GeForce GTX 1660 Ti,307
1/11/2022,GeForce GTX 1660 Ti,259
1/11/2023,GeForce GTX 1660 Ti,348
1/11/2024,GeForce GTX 1660 Ti,307
1/12/2022,GeForce GTX 1660 Ti,431
1/12/2023,GeForce GTX 1660 Ti,528
1/12/2024,GeForce GTX 1660 Ti,307
1/1/2023,GeForce RTX 2060,385
1/1/2024,GeForce RTX 2060,316
1/2/2023,GeForce RTX 2060,321
1/2/2024,GeForce RTX 2060,285
1/3/2023,GeForce RTX 2060,287
1/3/2024,GeForce RTX 2060,269
1/4/2023,GeForce RTX 2060,318
1/4/2024,GeForce RTX 2060,323
1/5/2023,GeForce RTX 2060,278
1/5/2024,GeForce RTX 2060,331
1/6/2023,GeForce RTX 2060,256
1/6/2024,GeForce RTX 2060,323
1/7/2023,GeForce RTX 2060,248
1/7/2024,GeForce RTX 2060,411
1/8/2023,GeForce RTX 2060,279
1/8/2024,GeForce RTX 2060,453
1/9/2023,GeForce RTX 2060,276
1/9/2024,GeForce RTX 2060,410
1/10/2023,GeForce RTX 2060,211
1/10/2024,GeForce RTX 2060,403
1/11/2022,GeForce RTX 2060,329
1/11/2023,GeForce RTX 2060,198
1/11/2024,GeForce RTX 2060,385
1/12/2022,GeForce RTX 2060,379
1/12/2023,GeForce RTX 2060,306
1/12/2024,GeForce RTX 2060,342
1/1/2023,GeForce RTX 2080 Ti,1521
1/1/2024,GeForce RTX 2080 Ti,0
1/2/2023,GeForce RTX 2080 Ti,999
1/2/2024,GeForce RTX 2080 Ti,0
