ds,yhat,yhat_lower,yhat_upper,GPU
2023-01-03,143.63167344794317,45.99985664268657,242.4056734799473,GeForce GTX 1050
2023-01-04,140.91233649521604,33.397299473525415,247.35062690869285,GeForce GTX 1050
2023-01-05,136.2144498076252,25.988538960605393,243.08491006659912,GeForce GTX 1050
2023-01-06,185.94045787893745,86.45400155778448,293.9110690541811,GeForce GTX 1050
2023-01-07,190.69853402919742,85.55281934190526,307.44744646179333,GeForce GTX 1050
2023-01-08,185.25902714867755,77.56891086070434,299.554638404582,GeForce GTX 1050
2023-01-09,102.32436564629887,-1.020862019245882,211.29533513950017,GeForce GTX 1050
2023-01-10,144.82951609372046,33.08397848040505,250.29042821774848,GeForce GTX 1050
2023-01-11,142.11017914225528,38.8539072716508,256.23916198847684,GeForce GTX 1050
2023-01-12,137.4122924544349,25.984249847270256,236.49006424880125,GeForce GTX 1050
2024-01-01,163.41434058649213,51.671916117239256,273.36094219038904,GeForce GTX 1050
2024-01-02,205.919491033465,93.39184626596636,306.8152963201616,GeForce GTX 1050
2024-01-03,203.20015408175541,100.47837564435387,311.77015407203425,GeForce GTX 1050
2024-01-04,198.5022673944736,93.46017330886816,303.98677317302685,GeForce GTX 1050
2024-01-05,248.22827546610748,141.14620901350474,347.6525870994715,GeForce GTX 1050
2024-01-06,252.986351616656,151.20444154604579,353.6023138386035,GeForce GTX 1050
2024-01-07,247.54684473600625,154.65137164872365,356.035779125867,GeForce GTX 1050
2024-01-08,164.61218323296524,60.288420970895054,271.93330054766193,GeForce GTX 1050
2024-01-09,207.11733367978016,111.62686604869621,312.88393638663194,GeForce GTX 1050
2024-01-10,204.39799672768524,99.74455126393218,309.88839871938836,GeForce GTX 1050
2024-01-11,199.70011003982899,100.54584596530162,304.2647441384785,GeForce GTX 1050
2024-01-12,249.4261181105552,140.24051755905595,358.14423125710704,GeForce GTX 1050
2024-02-01,203.2936379692424,99.77277855256705,309.3807339253054,GeForce GTX 1050
2024-03-01,257.81101661309276,148.70231636287872,363.3232224048661,GeForce GTX 1050
2024-04-01,178.98629495155285,77.48324329415117,283.8523035197311,GeForce GTX 1050
2024-05-01,223.5634790191253,119.08648859637493,327.8445861762309,GeForce GTX 1050
2024-06-01,278.14104712469583,174.939803383624,386.3394898803685,GeForce GTX 1050
2024-07-01,194.5582493133599,90.36865375271032,300.8027093900887,GeForce GTX 1050
2024-08-01,234.43754669307563,128.86218210241412,341.8660963041404,GeForce GTX 1050
2024-09-01,288.2734946053672,181.81502714647672,389.9156602402362,GeForce GTX 1050
2024-10-01,252.63535412230132,145.64972542245795,364.0869714823696,GeForce GTX 1050
2024-11-01,299.73550912578804,192.9272800255177,392.11541754359826,GeForce GTX 1050
2024-12-01,303.84544896710463,196.21492656385797,414.6468589968367,GeForce GTX 1050
2025-01-01,265.487971531739,169.07815606061956,372.55496266716284,GeForce GTX 1050
2025-02-01,320.0655396372682,216.8205781322284,424.3764742427622,GeForce GTX 1050
2025-03-01,324.85691021019875,220.12018364330294,429.3911985614604,GeForce GTX 1050
